Player,Tm,G,Player-additional
Precious Achiuwa,TOR,73,achiupr01
Steven Adams,MEM,76,adamsst01
Bam Adebayo,MIA,56,adebaba01
Santi Aldama,MEM,32,aldamsa01
LaMarcus Aldridge,BRK,47,aldrila01
Nickeil Alexander-Walker,TOT,65,alexani01
Grayson Allen,MIL,66,allengr01
Jarrett Allen,CLE,56,allenja01
Jose Alvarado,NOP,54,alvarjo01
Justin Anderson,TOT,16,anderju01
Kyle Anderson,MEM,69,anderky01
Giannis Antetokounmpo,MIL,67,antetgi01
Thanasis Antetokounmpo,MIL,48,antetth01
Carmelo Anthony,LAL,69,anthoca01
Cole Anthony,ORL,65,anthoco01
OG Anunoby,TOR,48,anunoog01
Ryan Arcidiacono,NYK,10,arcidry01
Trevor Ariza,LAL,24,arizatr01
D.J. Augustin,TOT,55,augusdj01
Deni Avdija,WAS,82,avdijde01
Joel Ayayi,WAS,7,ayayijo01
Deandre Ayton,PHO,58,aytonde01
Udoka Azubuike,UTA,17,azubuud01
Marvin Bagley III,TOT,48,baglema01
LaMelo Ball,CHO,75,ballla01
Lonzo Ball,CHI,35,balllo01
Mo Bamba,ORL,71,bambamo01
Desmond Bane,MEM,76,banede01
Dalano Banton,TOR,64,bantoda01
Cat Barber,ATL,3,barbeca01
Harrison Barnes,SAC,77,barneha02
Scottie Barnes,TOR,74,barnesc01
RJ Barrett,NYK,70,barrerj01
Will Barton,DEN,71,bartowi01
Paris Bass,PHO,2,basspa01
Charles Bassey,PHI,23,bassech01
Keita Bates-Diop,SAS,59,bateske01
Nicolas Batum,LAC,59,batumni01
Kent Bazemore,LAL,39,bazemke01
Darius Bazley,OKC,69,bazleda01
Bradley Beal,WAS,40,bealbr01
Malik Beasley,MIN,79,beaslma01
Jordan Bell,CHI,1,belljo01
DeAndre' Bembry,TOT,56,bembrde01
Dāvis Bertāns,TOT,56,bertada01
Patrick Beverley,MIN,58,beverpa01
Saddiq Bey,DET,82,beysa01
Khem Birch,TOR,55,birchkh01
Goga Bitadze,IND,50,bitadgo01
Bismack Biyombo,PHO,36,biyombi01
Nemanja Bjelica,GSW,71,bjeline01
Eric Bledsoe,LAC,54,bledser01
Keljin Blevins,POR,31,blevike01
Bogdan Bogdanović,ATL,63,bogdabo01
Bojan Bogdanović,UTA,69,bogdabo02
Bol Bol,DEN,14,bolbo01
Leandro Bolmaro,MIN,35,bolmale01
Isaac Bonga,TOR,15,bongais01
Devin Booker,PHO,68,bookede01
Brandon Boston Jr.,LAC,51,bostobr01
Chris Boucher,TOR,80,bouchch01
James Bouknight,CHO,31,bouknja01
Avery Bradley,LAL,62,bradlav01
Tony Bradley,CHI,55,bradlto01
Ignas Brazdeikis,ORL,42,brazdig01
Mikal Bridges,PHO,82,bridgmi01
Miles Bridges,CHO,80,bridgmi02
Oshae Brissett,IND,67,brissos01
Malcolm Brogdon,IND,36,brogdma01
Armoni Brooks,TOT,54,brookar01
Dillon Brooks,MEM,32,brookdi01
Bruce Brown,BRK,72,brownbr01
Charlie Brown Jr.,TOT,22,brownch02
Chaundee Brown Jr.,TOT,5,brownch05
